en	meaning_en	meaning_ja	meaning_zh	meaning_fr	meaning_de	meaning_es	meaning_it	meaning_pt	meaning_ru	meaning_ar	meaning_hi
biryani	South Asian rice dish with spices.	ビリヤニ; スパイスを使った南アジアの米料理	比尔亚尼; 南亚香料米饭菜肴	Biryani; plat de riz sud-asiatique aux épices	Biryani; südasiatisches Reisgericht mit Gewürzen	Biryani; plato de arroz del sur de Asia con especias	Biryani; piatto di riso dell'Asia meridionale con spezie	Biryani; prato de arroz do sul da Ásia com especiarias	Бирьяни; южноазиатское рисовое блюдо со специями	برياني; طبق أرز من جنوب آسيا بالتوابل	बिरयानी; मसालों के साथ दक्षिण एशियाई चावल का व्यंजन
biscuit	Small baked cake or cookie.	ビスケット; 小さな焼き菓子やクッキー	饼干; 小的烘焙糕点或曲奇	Biscuit; petit gâteau cuit ou cookie	Keks; kleiner gebackener Kuchen oder Cookie	Galleta; pequeño pastel horneado o cookie	Biscotto; piccola torta cotta o cookie	Bolacha; pequeno bolo assado ou cookie	Печенье; маленький испечённый пирожок или печенье	بسكويت; كعكة صغيرة مخبوزة أو بسكويت	बिस्कुट; छोटा पका हुआ केक या कुकी
bishop	High-ranking Christian cleric.	司教; キリスト教の高位聖職者	主教; 基督教高级神职人员	Évêque; clerc chrétien de haut rang	Bischof; hochrangiger christlicher Geistlicher	Obispo; clérigo cristiano de alto rango	Vescovo; chierico cristiano di alto rango	Bispo; clérigo cristão de alta patente	Епископ; высокопоставленный христианский священнослужитель	أسقف; رجل دين مسيحي رفيع المستوى	बिशप; उच्च रैंक का ईसाई धर्मगुरु
bit	Piece; small amount; drill; data unit.	少し; 小さな欠片や少量	一点; 小片或少量	Morceau; petite quantité	Stück; kleine Menge	Pedazo; pequeña cantidad	Pezzo; piccola quantità	Pedaço; pequena quantidade	Кусочек; маленькое количество	قطعة; كمية صغيرة	टुकड़ा; छोटी मात्रा
bite	Chew; sting; wound; snack.	噛むこと; 歯で噛む行為	咬; 用牙齿咬的动作	Morsure; action de mordre	Biss; Akt des Beißens	Mordida; acto de morder	Morso; atto del mordere	Mordida; ato de morder	Укус; акт кусания	عضة; فعل العض	काटना; दांतों से काटने की क्रिया
bitter	Sharp unpleasant taste; harsh feeling.	苦味; 鋭く不快な味	苦味; 刺激性不愉快的味道	Amertume; goût désagréable et âcre	Bitterkeit; scharfer unangenehmer Geschmack	Amargura; sabor desagradable y áspero	Amarezza; sapore sgradevole e aspro	Amargura; sabor desagradável e áspero	Горечь; резкий неприятный вкус	مرارة; طعم غير سار وحاد	कड़वाहट; तीखा अप्रिय स्वाद
black	The color black; dark color; absence of light; evil.	黒; 黒い色	黑色; 黑暗的颜色	Noir; couleur noire	Schwarz; dunkle Farbe	Negro; color oscuro	Nero; colore scuro	Preto; cor escura	Чёрный; тёмный цвет	أسود; اللون الأسود	काला; काला रंग
blackboard	Dark board for writing with chalk.	黒板; チョークで書く暗い板	黑板; 用粉笔书写的深色板子	Tableau noir; planche sombre pour écrire à la craie	Tafel; dunkles Brett zum Schreiben mit Kreide	Pizarrón; tabla oscura para escribir con tiza	Lavagna; tavola scura per scrivere col gesso	Quadro-negro; tábua escura para escrever com giz	Доска; тёмная доска для письма мелом	سبورة سوداء; لوح مظلم للكتابة بالطباشير	ब्लैकबोर्ड; चाक से लिखने के लिए काला बोर्ड
blade	Cutting edge; sword; leaf; razor.	刃; 切る部分や刀身	刃; 切割的锋利部分	Lame; tranchant ou épée	Klinge; Schneidkante oder Schwert	Hoja; filo cortante o espada	Lama; taglio o spada	Lâmina; gume ou espada	Лезвие; режущий край или клинок	شفرة; حافة قاطعة أو سيف	धार; काटने वाला किनारा या तलवार
blame	Responsibility for a fault or wrong.	非難; 過ちや間違いに対する責任	责任; 对过错或错误的责任	Reproche; responsabilité d'une faute	Vorwurf; Verantwortung für einen Fehler	Culpa; responsabilidad por una falta	Colpa; responsabilità di un errore	Culpa; responsabilidade por uma falta	Обвинение; ответственность за вину	لوم; مسؤولية عن خطأ	दोष; गलती या अपराध की जिम्मेदारी
blanket	Cover; bedding; overall; general.	毛布; 覆うものや寝具	毯子; 覆盖物或床上用品	Couverture; ce qui couvre ou literie	Decke; Bedeckung oder Bettzeug	Manta; cobertura o ropa de cama	Coperta; copertura o biancheria da letto	Cobertor; cobertura ou roupa de cama	Одеяло; покрывало или постельное бельё	بطانية; غطاء أو فراش	कम्बल; ढकने वाली वस्तु या बिस्तर
blast	Strong gust; explosion.	爆発; 強い突風や爆発	爆炸; 强烈的突然袭击或爆炸	Explosion; rafale forte	Explosion; starker Windstoß	Explosión; ráfaga fuerte	Esplosione; raffica forte	Explosão; rajada forte	Взрыв; сильный порыв ветра	انفجار; هبة ريح قوية أو انفجار	विस्फोट; तेज हवा का झोंका या विस्फोट
blaze	Bright flame; intense fire.	炎; 明るい炎や激しい火	火焰; 明亮的火焰或强烈的火	Flamme; flamme vive ou feu intense	Flamme; helle Flamme oder intensives Feuer	Llama; llama brillante o fuego intenso	Fiamma; fiamma brillante o fuoco intenso	Chama; chama brilhante ou fogo intenso	Пламя; яркое пламя или интенсивный огонь	لهب; لهب مشرق أو نار شديدة	ज्वाला; तेज ज्वाला या तीव्र आग
blessing	Divine favor; prayer for protection.	祝福; 神の恵みや保護の祈り	祝福; 神的恩惠或保护的祈祷	Bénédiction; faveur divine ou prière de protection	Segen; göttliche Gunst oder Schutzgebet	Bendición; favor divino u oración de protección	Benedizione; favore divino o preghiera di protezione	Bênção; favor divino ou oração de proteção	Благословение; божественная милость или молитва о защите	بركة; نعمة إلهية أو دعاء للحماية	आशीर्वाद; ईश्वरीय कृपा या सुरक्षा की प्रार्थना
blimp	Non-rigid airship filled with gas.	飛行船; ガスで満たされた軟式飛行船	软式飞艇; 充气的非刚性飞艇	Ballon dirigeable; aérostat non rigide rempli de gaz	Prallluftschiff; nicht-starres mit Gas gefülltes Luftschiff	Dirigible flexible; aeronave no rígida llena de gas	Dirigibile flessibile; aeromobile non rigido pieno di gas	Dirigível flexível; aeronave não rígida cheia de gás	Дирижабль; мягкий воздушный корабль, наполненный газом	منطاد مرن; طائرة هوائية غير صلبة معبأة بالغاز	ब्लिंप; गैस से भरे गैर-कठोर हवाई जहाज
blind	Window covering; shade; unable to see.	ブラインド; 窓を覆うもの	百叶窗; 窗户遐光物	Store; couverture de fenêtre	Jalousie; Fensterabdeckung	Persiana; cobertura de ventana	Tenda; copertura per finestra	Persiana; cobertura de janela	Жалюзи; покрытие для окон	ستارة; غطاء النافذة	ब्लाइंड; खिड़की ढकने वाली वस्तु
blister	Fluid-filled bump on skin.	水ぶくれ; 皮膚の液体で満たされた膚腸	水泡; 皮肤上充满液体的隆起	Ampoule; bosse remplie de liquide sur la peau	Blase; flüssigkeitsgefüllte Beule auf der Haut	Ampolla; protuberancia llena de líquido en la piel	Vescica; rigonfiamento pieno di liquido sulla pelle	Bolha; inchazo cheio de líquido na pele	Волдырь; наполненное жидкостью вупуклость на коже	فقاعة; نتوء مليء بالسائل على الجلد	छाला; त्वचा पर तरल पदार्थ से भरा उभार
blizzard	Severe snowstorm with strong winds.	吹雪; 強い風を伴う激しい雪嵐	暴风雪; 伴随强风的严重暴风雪	Blizzard; tempête de neige sévère avec vents forts	Blizzard; schwerer Schneesturm mit starken Winden	Ventisca; tormenta de nieve severa con vientos fuertes	Bufera; tempesta di neve severa con venti forti	Nevasca; tempestade de neve severa com ventos fortes	Буран; сильная снежная буря с сильными ветрами	عاصفة ثلجية; عاصفة ثلجية شديدة مع رياح قوية	बर्फ़ का तूफान; तेज हवाओं के साथ गंभीर बर्फ़ीला तूफान
block	Obstruct; cube; building; prevent.	ブロック; 立方体や建物の区画	块; 立方体或建筑群	Bloc; cube ou immeuble	Block; Würfel oder Gebäude	Bloque; cubo o edificio	Blocco; cubo o edificio	Bloco; cubo ou edifício	Блок; куб или здание	كتلة; مكعب أو مبنى	ब्लॉक; घन या भवन
blood	Body fluid; ancestry; violence; life.	血液; 体の液体	血液; 体内液体	Sang; liquide corporel	Blut; Körperflüssigkeit	Sangre; fluido corporal	Sangue; fluido corporeo	Sangue; fluido corporal	Кровь; жидкость тела	دم; سائل الجسم	खून; शरीर का तरल पदार्थ
bloom	Flower; state of flowering.	開花; 花や花が咲く状態	开花; 花期或花朵	Floraison; fleur ou état de floraison	Blüte; Blume oder Zustand des Blühens	Floración; flor o estado de florecimiento	Fioritura; fiore o stato di fioritura	Floração; flor ou estado de florescimento	Цветение; цветок или состояние цветения	إزهار; زهرة أو حالة الإزهار	फूल; फूल या फूलने की अवस्था
blossom	Flower of fruit tree; flowering.	花; 果木の花	果树花; 果树的花朵	Fleur; fleur d'arbre fruitier	Blüte; Blume eines Obstbaums	Flor; flor de árbol frutal	Fiore; fiore di albero da frutto	Flor; flor de árvore frutífera	Цвет; цветок фруктового дерева	زهرة; زهرة شجرة مثمرة	फूल; फल के पेड़ का फूल
blouse	Loose-fitting upper garment.	ブラウス; ゆったりした上着	女式衬衫; 宽松的上衣	Chemisier; vêtement supérieur ample	Bluse; locker sitzendes Oberkleid	Blusa; prenda superior holgada	Camicetta; indumento superiore ampio	Blusa; peça de roupa superior folgada	Блузка; свободно сидящая верхняя одежда	بلوزة; قميص فضفاض علوي	ब्लाउज; ढीला-ढाला ऊपरी कपड़ा
blow	Hit; wind; shock; failure.	打撃; 叩くことや衝撃	打击; 敲击或冲击	Coup; frappe ou choc	Schlag; Treffer oder Stoß	Golpe; impacto o choque	Colpo; botta o urto	Golpe; pancada ou choque	Удар; попадание или шок	ضربة; صدمة أو ارتطام	घूंसा; मार या झटका
blue	The color blue; sky color; ocean color; sadness.	青; 青い色	蓝色; 蓝色的颜色	Bleu; couleur bleue	Blau; blaue Farbe	Azul; color azul	Azzurro; colore blu	Azul; cor azul	Синий; синий цвет	أزرق; اللون الأزرق	नीला; नीला रंग
blueberry	Small blue edible berry.	ブルーベリー; 小さな青い食用ベリー	蓝莓; 小型蓝色可食浆果	Myrtille; petite baie bleue comestible	Blaubeere; kleine blaue essbare Beere	Arándano; pequeña baya azul comestible	Mirtillo; piccola bacca blu commestibile	Mirtilo; pequena baga azul comestível	Черника; маленькая синяя съедобная ягода	توت أزرق; توتة زرقاء صغيرة قابلة للأكل	नीलबदरी; छोटी नीली खाने योग्य बेरी
blur	Unclear image; lack of sharpness.	ボケ; 不鮮明な画像や鉄明さの欠如	模糊; 不清晰的图像或缺乏清晰度	Flou; image peu nette ou manque de netteté	Unschärfe; unklares Bild oder mangelnde Schärfe	Desenfoque; imagen poco clara o falta de nitidez	Sfocatura; immagine poco chiara o mancanza di nitidezza	Desfoque; imagem pouco clara ou falta de nitidez	Размытость; нечёткое изображение или недостаток резкости	ضبابية; صورة غير واضحة أو نقص في الوضوح	धुंधलाहट; अस्पष्ट छवि या तीक्ष्णता की कमी
blush	Reddening of face from embarrassment.	赤面; 恥ずかしさから顔が赤くなること	脸红; 因尴尬而面部发红	Rougeur; rougissement du visage par embarras	Erröten; Rötung des Gesichts aus Verlegenheit	Sonrojo; enrojecimiento de la cara por vergüenza	Rossore; arrossamento del viso per imbarazzo	Rubor; avermelhamento do rosto por constrangimento	Краснота; покраснение лица от смущения	احمرار; احمرار الوجه من الإحراج	शरम; शरम से चेहरे का लाल होना
board	Plank; committee; get on; food.	板; 木の板や委員会	板; 木板或委员会	Planche; plaque ou comité	Brett; Planke oder Ausschuss	Tabla; plancha o comité	Tavola; asse o comitato	Tábua; tábua ou comitê	Доска; планка или комитет	لوح; لوح أو لجنة	तख्ता; लकड़ी का तख्ता या समिति
boardroom	Room for board meetings.	会議室; 取締役会用の部屋	董事会议室; 用于董事会会议的房间	Salle de conseil; salle pour réunions du conseil	Sitzungssaal; Raum für Vorstandssitzungen	Sala de juntas; habitación para reuniones del consejo	Sala del consiglio; stanza per riunioni del consiglio	Sala de reuniões; sala para reuniões da diretoria	Зал заседаний; комната для заседаний совета директоров	قاعة الاجتماعات; غرفة لاجتماعات مجلس الإدارة	बोर्डरूम; बोर्ड की बैठकों के लिए कमरा
boat	Vessel; ship; watercraft; craft.	ボート; 船や水上の乗り物	船; 船只或水上交通工具	Bateau; navire ou embarcation	Boot; Schiff oder Wasserfahrzeug	Barco; navío o embarcación	Barca; nave o imbarcazione	Barco; navio ou embarcação	Лодка; судно или водный транспорт	قارب; سفينة أو مركبة مائية	नाव; पानी का यान या पोत
body	Physique; corpse; organization; main part.	体; 身体や肉体	身体; 人的身体或体格	Corps; physique ou cadavre	Körper; Physique oder Leichnam	Cuerpo; físico o cadáver	Corpo; fisico o cadavere	Corpo; físico ou cadáver	Тело; физическое тело или труп	جسم; البدن أو الجثة	शरीर; शारीरिक ढांचा या शव
bog	Wetland with acidic water.	沼地; 酸性の水を持つ湿地	沼泽; 酸性水的湿地	Tourbière; zone humide avec eau acide	Moor; Feuchtgebiet mit saurem Wasser	Turbera; humedal con agua ácida	Palude; zona umida con acqua acida	Pântano; área úmida com água ácida	Болото; водно-болотные угодья с кислой водой	مستنقع; أرض رطبة بمياه حامضية	दलदल; अम्लीय पानी वाली आर्द्रभूमि
boil	Heated bubbling of liquid.	沸騰; 液体が熱で泡立つこと	沸腾; 液体加热冒泡	Bouillonnement; bouillage chauffé de liquide	Kochen; erhitztes Sprudeln von Flüssigkeit	Hervir; burbujeo calentado de líquido	Bollitura; gorgogliamento riscaldato di liquido	Fervura; borbulhamento aquecido de líquido	Кипение; нагретое бурление жидкости	غليان; فقع مسخن للسائل	उबालना; तरल का गर्म होकर बुलबुलाना
bolt	Metal fastener; sudden movement.	ボルト; 金属の締め具	螺栓; 金属紧固件	Boulon; attache métallique	Schraube; metallische Befestigung	Perno; sujetador metálico	Bullone; fissatore metallico	Parafuso; fixador metálico	Болт; металлический крепёж	مسمار; مشبك معدني	बोल्ट; धातु का फास्टनर
bomb	Explosive; failure; attack; disaster.	爆弾; 爆発物	爆弹; 爆炸物或炸药	Bombe; explosif	Bombe; Sprengstoff	Bomba; explosivo	Bomba; esplosivo	Bomba; explosivo	Бомба; взрывчатое вещество	قنبلة; مادة متفجرة	बम; विस्फोटक पदार्थ
bombardment	Continuous attack with bombs.	爆撃; 爆弾による継続的攻撃	轰炸; 用炸弹持续攻击	Bombardement; attaque continue avec bombes	Bombardierung; kontinuierlicher Angriff mit Bomben	Bombardeo; ataque continuo con bombas	Bombardamento; attacco continuo con bombe	Bombardeio; ataque contínuo com bombas	Бомбардировка; непрерывная атака бомбами	قصف; هجوم مستمر بالقنابل	बमबारी; बमों से निरंतर हमला
bomber	Aircraft designed to drop bombs.	爆撃機; 爆弾を落とすために設計された航空機	轰炸机; 专门投放炸弹的飞机	Bombardier; avion conçu pour larguer des bombes	Bomber; Flugzeug zum Bombenabwurf	Bombardero; avión diseñado para lanzar bombas	Bombardiere; aereo progettato per lanciare bombe	Bombardeiro; avião projetado para largar bombas	Бомбардировщик; самолёт для сбрасывания бомб	قاذفة; طائرة مصممة لإلقاء القنابل	बमवर्षक; बम गिराने के लिए डिज़ाइन किया गया विमान
bond	Connection; tie; security; relationship.	絆; つながりや結びつき	联系; 连接或纽带	Lien; connexion ou attache	Verbindung; Verbindung oder Band	Vínculo; conexión o lazo	Legame; connessione o vincolo	Vínculo; conexão ou laço	Связь; соединение или узы	رابطة; اتصال أو علاقة	बंधन; कनेक्शन या संबंध
bone	Skeleton part; structure; complaint; essence.	骨; 骨格の一部	骨; 骨骼的一部分	Os; partie du squelette	Knochen; Teil des Skeletts	Hueso; parte del esqueleto	Osso; parte dello scheletro	Osso; parte do esqueleto	Кость; часть скелета	عظم; جزء من الهيكل العظمي	हड्डी; कंकाल का हिस्सा
bonus	Extra payment or benefit.	ボーナス; 追加の支払いや利益	奖金; 额外的付款或福利	Prime; paiement ou avantage supplémentaire	Bonus; zusätzliche Zahlung oder Vorteil	Bonificación; pago o beneficio extra	Bonus; pagamento o beneficio extra	Bônus; pagamento ou benefício extra	Бонус; дополнительная выплата или льгота	مكافأة; دفعة أو منفعة إضافية	बोनस; अतिरिक्त भुगतान या लाभ
boo	Exclamation to frighten or disapprove.	ブー; 怖がらせたり不承認を示す感嘆詞	嘘声; 吓唬或表示不赞成的感叹词	Huée; exclamation pour effrayer ou désapprouver	Buh; Ausruf zum Erschrecken oder Missbilligung	Abucheo; exclamación para asustar o desaprobar	Fischio; esclamazione per spaventare o disapprovare	Vaia; exclamação para assustar ou desaprovar	Бу; восклицание для испуга или неодобрения	صيحة; تعبير للتخويف أو عدم الموافقة	बू; डराने या नापसंदगी दिखाने के लिए विस्मयादिबोधक
book	Book; written work; publication; volume.	本; 書物や刊行物	书; 书籍或出版物	Livre; ouvrage écrit ou publication	Buch; schriftliches Werk oder Veröffentlichung	Libro; obra escrita o publicación	Libro; opera scritta o pubblicazione	Livro; obra escrita ou publicação	Книга; письменное произведение или публикация	كتاب; عمل مكتوب أو منشور	पुस्तक; लिखित कृति या प्रकाशन
bookkeeping	Recording of financial transactions.	簿記; 金融取引の記録	记账; 记录金融交易	Comptabilité; enregistrement des transactions financières	Buchhaltung; Aufzeichnung finanzieller Transaktionen	Contabilidad; registro de transacciones financieras	Contabilità; registrazione delle transazioni finanziarie	Contabilidade; registro de transações financeiras	Бухгалтерский учёт; запись финансовых операций	مسك الدفاتر; تسجيل المعاملات المالية	लेखांकन; वित्तीय लेनदेन का रिकॉर्ड
boom	Loud deep sound; period of prosperity.	ブーム; 大きな低音; 繁栄期。	轰鸣; 大声的低沉声音; 繁荣期。	Grondement; son fort et profond; période de prospérité.	Dröhnen; lauter tiefer Klang; Zeit des Wohlstands.	Estruendo; sonido fuerte y profundo; período de prosperidad.	Boato; suono forte e profundo; periodo di prosperità.	Estrondo; som alto e profundo; período de prosperidade.	Грохот; громкий глубокий звук; период процветания.	قرقعة; صوت قوي وعميق; فترة ازدهار.	गर्जन; जोरदार गहरी आवाज; समृद्धि काल।
boot	Footwear; start up; kick; trunk.	ブーツ; 履物; 起動; 蹴り; トランク。	靴子; 鞋类; 启动; 踢; 后备箱。	Botte; chaussure; démarrage; coup de pied; coffre.	Stiefel; Schuh; Hochfahren; Tritt; Kofferraum.	Bota; calzado; arranque; patada; maletero.	Stivale; calzatura; avvio; calcio; bagagliaio.	Bota; calçado; inicialização; chute; porta-malas.	Сапог; обувь; загрузка; удар ногой; багажник.	حذاء; حذاء; بدء التشغيل; ركلة; صندوق السيارة.	बूट; जूता; शुरुआत; लात; कार का डिक्की।
booth	Small enclosed compartment.	ブース; 小さな囲まれた区画	小隔间; 小的封闭隔间	Cabine; petit compartiment fermé	Kabine; kleines geschlossenes Abteil	Cabina; pequeño compartimento cerrado	Cabina; piccolo scompartimento chiuso	Cabine; pequeno compartimento fechado	Кабина; маленькое закрытое отделение	كشك; مقصورة صغيرة مغلقة	बूथ; छोटा बंद कमरा
border	Boundary; edge; frontier; limit.	国境; 境界や縁	边界; 边界或边缘	Frontière; limite ou bordure	Grenze; Begrenzung oder Rand	Frontera; límite o borde	Confine; limite o bordo	Fronteira; limite ou borda	Граница; предел или край	حدود; حد أو حافة	सीमा; सीमा या किनारा
borderline	Dividing line; barely acceptable.	境界線; 分割線	分界线; 分割线或界限	Ligne de démarcation; ligne de partage	Grenzlinie; Trennlinie	Línea divisoria; línea de separación	Linea di confine; linea di divisione	Linha fronteiriça; linha de separação	Пограничная линия; разделяющая линия	خط فاصل; خط مقسم	सीमांत रेखा; विभाजक रेखा
borrowing	Act of taking temporarily.	借用; 一時的に取ること	借用; 临时取用的行为	Emprunt; acte de prendre temporairement	Leihen; temporäres Nehmen	Préstamo; acto de tomar temporalmente	Prestito; atto di prendere temporaneamente	Emprestimo; ato de pegar temporariamente	Заимствование; акт временного взятия	اقتراض; فعل الأخذ مؤقتاً	उधार; अस्थायी रूप से लेने की क्रिया
borscht	Eastern European beet soup.	ボルシチ; 東欧のビートスープ	罗宋汤; 东欧甜菜汤	Bortsch; soupe de betterave d'Europe de l'Est	Borschtsch; osteuropäische Rote-Bete-Suppe	Borsch; sopa de remolacha de Europa del Este	Borsch; zuppa di barbabietola dell'Europa dell'Est	Borsch; sopa de beterraba da Europa Oriental	Борщ; восточноевропейский свекольный суп	بورش; شوربة الشمندر من أوروبا الشرقية	बोर्श; पूर्वी यूरोपीय चुकंदर का सूप
boss	Manager; supervisor; leader; chief.	ボス; 管理者や上司	老板; 管理者或主管	Patron; gestionnaire ou superviseur	Chef; Manager oder Vorgesetzter	Jefe; gerente o supervisor	Capo; manager o supervisore	Chefe; gerente ou supervisor	Начальник; менеджер или руководитель	رئيس; مدير أو مشرف	बॉस; प्रबंधक या पर्यवेक्षक
botany	Scientific study of plants.	植物学; 植物の科学的研究	植物学; 植物的科学研究	Botanique; étude scientifique des plantes	Botanik; wissenschaftliche Erforschung von Pflanzen	Botánica; estudio científico de las plantas	Botanica; studio scientifico delle piante	Botânica; estudo científico das plantas	Ботаника; научное изучение растений	علم النبات; الدراسة العلمية للنباتات	वनस्पति विज्ञान; पौधों का वैज्ञानिक अध्ययन
bother	Trouble; annoyance.	迷惑; 困りごとや煩わしさ	烦恼; 麻烦或烦扰	Dérangement; trouble ou gêne	Belästigung; Störung oder Ärger	Molestia; problema o fastidio	Fastidio; problema o seccatura	Incômodo; problema ou aborrecimento	Беспокойство; проблема или раздражение	إزعاج; مشكلة أو مضايقة	परेशानी; समस्या या झंझट
bottle	Container for liquids.	ボトル; 液体用の容器	瓶子; 液体容器	Bouteille; récipient pour liquides	Flasche; Behälter für Flüssigkeiten	Botella; recipiente para líquidos	Bottiglia; contenitore per liquidi	Garrafa; recipiente para líquidos	Бутылка; контейнер для жидкостей	زجاجة; حاوية للسوائل	बोतल; तरल पदार्थों के लिए कंटेनर
bottom	Lowest part; base; buttocks; foundation.	底; 最も低い部分	底部; 最低的部分	Fond; partie la plus basse	Boden; niedrigster Teil	Fondo; parte más baja	Fondo; parte più bassa	Fundo; parte mais baixa	Дно; самая нижняя часть	قاع; الجزء الأسفل	तल; सबसे निचला हिस्सा
bounce	Rebound after hitting surface.	跳ね返り; 表面に当たった後の反発	反弹; 撞击表面后的反弹	Rebond; rebondissement après impact sur une surface	Abprall; Rückprall nach Aufprall auf Oberfläche	Rebote; rebote después de golpear una superficie	Rimbalzo; rimbalzo dopo aver colpito una superficie	Ricochete; ricochete após atingir uma superfície	Отскок; отскок после удара о поверхность	ارتداد; الارتداد بعد ضرب السطح	उछाल; सतह से टकराने के बाद वापसी
bounty	Reward; abundance.	褒賞; 報酬や豊かさ	赏金; 奖励或丰富	Prime; récompense ou abondance	Belohnung; Belohnung oder Überfluss	Recompensa; recompensa o abundancia	Taglia; ricompensa o abbondanza	Recompensa; recompensa ou abundância	Награда; вознаграждение или изобилие	مكافأة; مكافأة أو وفرة	इनाम; पुरस्कार या प्रचुरता
bouquet	Arrangement of flowers.	ブーケ; 花の装飾的配置	花束; 花卉的排列	Bouquet; arrangement de fleurs	Blumenstrauß; Anordnung von Blumen	Ramo; arreglo de flores	Mazzo; composizione di fiori	Buquê; arranjo de flores	Букет; композиция из цветов	باقة; ترتيب من الزهور	गुलदस्ता; फूलों की व्यवस्था
bourgeois	Middle-class person; conventional.	ブルジョワ; 中産階級の人	资产阶级; 中产阶级的人	Bourgeois; personne de classe moyenne	Bürgerlich; Person der Mittelschicht	Burgués; persona de clase media	Borghese; persona della classe media	Burguês; pessoa da classe média	Буржуа; представитель среднего класса	برجوازي; شخص من الطبقة المتوسطة	पूंजीपति; मध्यम वर्गीय व्यक्ति
bout	Short period; fighting match.	短期間; 短時間の期間や試合。	一阵; 短时期或比赛。	Période; période courte ou match.	Zeitraum; kurze Zeitspanne oder Kampf.	Período; período corto o combate.	Periodo; breve periodo o incontro.	Período; período curto ou combate.	Период; короткий период или поединок.	فترة; فترة قصيرة أو مباراة.	अवधि; छोटी अवधि या मुकाबला।
bowel	Part of intestine.	腸; 腸の一部分。	肠; 肠道的一部分。	Intestin; partie de l'intestin.	Darm; Teil des Darms.	Intestino; parte del intestino.	Intestino; parte dell'intestino.	Intestino; parte do intestino.	Кишка; часть кишечника.	أمعاء; جزء من الأمعاء.	आंत; आंत का हिस्सा।
bowl	Dish; container; stadium; game.	ボウル; 皿や容器。	碗; 盘子或容器。	Bol; récipient ou plat.	Schüssel; Behälter oder Schale.	Tazón; recipiente o plato.	Ciotola; contenitore o piatto.	Tigela; recipiente ou prato.	Миска; емкость или блюдо.	وعاء; إناء أو طبق.	कटोरा; बर्तन या पात्र।
bowling	Sport of rolling ball at pins.	ボウリング; ピンを倒すボール競技。	保龄球; 滚球撞倒球瓶的运动。	Bowling; sport de quilles.	Bowling; Kegelsport mit Kugel.	Bolos; deporte de derribar pinos.	Bowling; sport dei birilli.	Boliche; esporte de derrubar pinos.	Боулинг; игра в кегли.	بولينغ; رياضة إسقاط الدبابيس.	बॉलिंग; गेंद से पिन गिराने का खेल।
box	Container; fight; compartment; package.	箱; 容器; ボクシングの試合; 区画; 包装。	盒子; 容器; 拳击比赛; 隔间; 包装。	Boîte; récipient; combat; compartiment; emballage.	Kiste; Behälter; Kampf; Abteil; Verpackung.	Caja; recipiente; combate; compartimento; paquete.	Scatola; contenitore; combattimento; scompartimento; pacco.	Caixa; recipiente; luta; compartimento; embalagem.	Коробка; контейнер; бой; отсек; упаковка.	صندوق; حاوية; قتال; حجرة; عبوة.	डिब्बा; पात्र; मुक्केबाजी; कम्पार्टमेंट; पैकेज।
boxing	Sport of fighting with fists.	ボクシング; 拳で戦うスポーツ。	拳击; 用拳头格斗的运动。	Boxe; sport de combat aux poings.	Boxen; Kampfsport mit Fäusten.	Boxeo; deporte de combate con puños.	Pugilato; sport di combattimento coi pugni.	Boxe; esporte de luta com punhos.	Бокс; боевой спорт кулаками.	ملاكمة; رياضة القتال بالأيدي.	मुक्केबाजी; मुक्कों से लड़ने का खेल।
boy	Male child; lad; son; youth.	少年; 男の子。	男孩; 男性儿童。	Garçon; enfant mâle.	Junge; männliches Kind.	Niño; niño varón.	Ragazzo; bambino maschio.	Menino; criança do sexo masculino.	Мальчик; ребенок мужского пола.	ولد; طفل ذكر.	लड़का; पुरुष बच्चा।
boyhood	Period of being boy.	少年期; 少年時代の期間。	少年时期; 作为男孩的时期。	Enfance; période d'être garçon.	Kindheit; Zeit als Junge.	Niñez; período de ser niño.	Infanzia; periodo di essere bambino.	Infância; período de ser menino.	Детство; период мальчика.	طفولة; فترة كونه ولد.	बचपन; लड़का होने की अवधि।
brace	Support structure; pair.	支え; 支持構造物。	支撑; 支撑结构。	Support; structure de soutien.	Stütze; Stützstruktur.	Soporte; estructura de apoyo.	Sostegno; struttura di supporto.	Suporte; estrutura de apoio.	Опора; поддерживающая конструкция.	دعامة; هيكل دعم.	सहारा; सहायक संरचना।
bracelet	Jewelry worn around wrist.	ブレスレット; 手首に着ける装身具。	手镯; 戴在手腕上的首饰。	Bracelet; bijou porté au poignet.	Armband; Schmuck für das Handgelenk.	Pulsera; joya que se lleva en la muñeca.	Braccialetto; gioiello indossato al polso.	Pulseira; joia usada no pulso.	Браслет; украшение на запястье.	سوار; حلي تُلبس حول المعصم.	कंगन; कलाई पर पहना जाने वाला गहना।
brag	Boastful talk; speaking proudly about oneself; showing off.	自慢話; 誇らしげな話。	吹嘘; 夸耀的谈话。	Vantardise; discours orgueilleux.	Prahlerei; prahlerisches Reden.	Fanfarronería; habla presumida.	Vanteria; discorso millantatore.	Gabola; fala orgulhosa.	Хвастовство; хвастливая речь.	تفاخر; كلام متفاخر.	डींग; अभिमानपूर्ण बातचीत।
